family,common name (fr.),description,categories,origin,climat,temperature max. (c°),temperature min. (c°),zone,growth,light ideal,light tolered,watering,insects,disease,appeal,color of leaf,color of blooms,blooming season,perfume,avaibility,pot diameter (cm),height at purchase (m),width at purchase (m),height potential (m),width potential (m),available sizes (pot ø),bearing,pruning,style,use,name,soil
Crasssulaceae,Queue d'âne,,Ground Cover,Mexico,Arid Tropical,35,8,"11,,,9",Slow,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Must dry between watering  &  Water only when dry,Mealy bug,N/A,Color,Light green,,,,Regular,10,0.1,0.13,,,4in to 8in Ø  / 10cm to 20cm Ø,Creeping,If needed,,Ground cover  &  Hanging,"['donkey tail cactus', 'donkey’s tail plant', 'burro-tail', 'sedum morganianum', ""burro's tail plant""]",Use a loose and fast draining soil for a Donkey's tail plant. A cactus or succulent mix is a good choice.
Araceae,Lys de paix,,Spathiphyllum,Cultivar,Tropical,28,15,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug  &  Thrips,Phytophtora,Flower,Dark green,White,All year,"Light,  comes from the Flowers",Regular,15,0.3,0.3,0.91,0.91,4in to 10in Ø  / 10cm to 25cm Ø,Clump,Never,,Table top  &  Tertiary,"['peace lily plant', 'spathiphyllum', 'peace lily']",Use a rich well-aerated potting soil that contains a good amount of peat or other organic material.
Strelitziaceae,Oiseaux du paradis,,Foliage plant,South Africa,Subtropical,30,12,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,N/A,Bearing,Medium green,Cream,Rarely,,Regular,15,0.41,0.3,12.19,9.14,6in to 58in Ø  / 15cm to 147cm Ø,Clump,If needed,,Table top  &  Tertiary,"['white bird of paradise', 'strelitzia nicolai']",No information available
Araceae,Patte d'oie,,Hanging,Cultivar,Tropical humid,28,12,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,Crown rot  &  Erwinia,Color,Light green  &  Pink,,,,Regular,15,0.3,0.3,,,4in to 10in Ø  / 10cm to 25cm Ø,Climbing,If needed,,Table top  &  Tertiary,"['arrowhead vine', 'syngonium podophyllum', 'nephthytis', 'arrowhead plant', 'nephthytis liberica', 'goosefoot plant', 'african evergreen']","The best soil to use is a rich, organic mix that drains quickly. I find that a soil made for African Violet plants is a good choice."
Bromeliaceae,,,Bromeliad,Hybrid,Tropical humid,30,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Dark green,Pink,Seasonal,,Rare,15,0.46,0.46,,,6in Ø  / 15cm Ø,Rosette,Never,,Table top  &  Tertiary,"['tillandsia creation', 'platyrachis']",No information available
Bromeliaceae,,,Bromeliad,Ecuador,Tropical humid,30,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Dark green,Pink,Seasonal,,Regular,15,0.25,0.25,,,4in to 6in Ø  / 10cm to 15cm Ø,Rosette,Never,,Table top  &  Tertiary,"['pink quill', 'tillandsia cyanea', 'tillandsia morreniana']",No information available
Miliaceae,,,Other,Zimbabwe,Tropical humid,28,12,11-10,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,Mealy bug,N/A,Foliage,Dark green,,,,Regular,25,1.07,0.61,,,10in to 17in Ø  / 25cm to 43cm Ø,Arborescent,If needed,,Potted plant  &  Secondary,"['christmas bells', 'cape mahogany', 'trichilia dregei']",No information available
Bromeliaceae,,,Bromeliad,Cultivar,Tropical,28,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Medium green,Yellow  &  Red,Seasonal,,Regular,15,0.3,0.3,0.51,0.51,6in Ø  / 15cm Ø,Rosette,Never,,Table top  &  Tertiary,['vriesea'],No information available
Bromeliaceae,,,Bromeliad,Cultivar,Tropical,28,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Medium green,Red,Seasonal,,Regular,15,0.3,0.3,0.51,0.51,4in to 6in Ø  / 10cm to 15cm Ø,Rosette,Never,,Table top  &  Tertiary,['vriesea ginger'],No information available
Bromeliaceae,,,Bromeliad,Venezuela,Tropical,28,15,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Change water regularly in the cup  &  Water when soil is half dry,N/A,N/A,Flower,Medium green  &  Burgandy,Red,Seasonal,,Regular,10,0.25,0.25,0.51,0.51,4in to 8in Ø  / 10cm to 20cm Ø,Rosette,Never,,Table top  &  Tertiary,['vriesea splendens'],No information available
Liliaceae,,,Other,Australia,Arid Tropical,35,12,"11,,,9",Very slow,"Full sun (+21,500 lux /+2000 fc )",,Must dry between watering  &  Water only when dry,N/A,N/A,Trunc,Medium green,Medium green,Spring,,Rare,36,1.83,1.52,3.66,1.83,14in to 24in Ø  / 36cm to 61cm Ø,Clump,Never,,Potted plant  &  Primary,"['xanthorrhoea arborea', 'grass tree']",No information available
Araceae,Choux indien,,Foliage plant,Colombia,Tropical,28,12,11-10,Seasonal,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,N/A,Color,Medium green  &  White,,,,Sporadic,36,0.91,0.91,0.91,0.91,6in to 14in Ø  / 15cm to 36cm Ø,Clump,If needed,,Potted plant  &  Primary,"['xanthosoma lindenii', 'yautia', 'indian kale']",No information available
Liliaceae,,,Dracaena,Mexico,Subtropical,30,12,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,N/A,Downy mildiou,Robustness,Medium green,,,,Regular,25,1.22,0.61,3.66,1.52,4in to 17in Ø  / 10cm to 43cm Ø,Erect,If needed,Cane,Potted plant  &  Secondary,"['yucca plant', 'palm lily', 'yucca elephantipes', 'spineless yucca']","Use a good quality, well-aerated, loose houseplant soil that drains quickly for a Yucca Plant. Add sand to the soil if it seems too heavy or clay-like."
Araceae,,,Foliage plant,South Africa,Tropical,30,12,11-10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,N/A,N/A,Style,Dark green,,,,Regular,15,0.3,0.2,1.22,0.91,4in to 14in Ø  / 10cm to 36cm Ø,Clump,Never,,Table top  &  Secondary,"['zamioculcas zamifolia', 'zamioculcas zamiifolia', 'zz plant']",Use a well-aerated soil that retains water but still drains quickly. Add sand to the potting mixture if the soil becomes too heavy and compact.
